grid_id,Acraea andromacha,Acraea terpsicore,n_species
5262,2,0,1
5263,1,0,1
5264,9,0,1
5265,11,2,2
5266,1,0,1
5420,1,0,1
5422,1,0,1
5423,2,0,1
5424,1,0,1
5425,1,0,1
5426,1,0,1
5428,3,0,1
5429,6,14,2
5588,7,0,1
5590,2,0,1
5591,1,1,2
5592,2,0,1
5593,6,1,2
5594,23,0,1
5739,3,1,2
5744,1,0,1
5752,2,0,1
5754,3,0,1
5755,5,0,1
5756,1,0,1
5912,1,0,1
5918,7,2,2
5919,3,0,1
6080,12,3,2
6081,5,2,2
6237,1,0,1
6239,1,0,1
6241,1,1,2
6243,12,3,2
6244,2,3,2
6404,1,1,2
6406,1,0,1
6408,4,1,2
6410,5,0,1
6555,1,0,1
6556,3,1,2
6559,1,0,1
6567,1,0,1
6569,1,0,1
6570,2,1,2
6571,2,0,1
6720,1,0,1
6725,1,2,2
6731,1,0,1
6733,1,0,1
6734,1,0,1
6735,3,2,2
6736,27,1,2
6881,36,1,2
6883,1,0,1
6889,1,0,1
6893,1,0,1
6898,1,0,1
6899,2,0,1
6973,1,0,1
7041,1,0,1
7042,1,0,1
7045,1,0,1
7051,1,0,1
7054,6,1,2
7055,2,0,1
7056,1,0,1
7058,0,1,1
7188,1,0,1
7214,3,0,1
7217,0,1,1
7218,7,0,1
7363,0,1,1
7372,0,1,1
7375,1,0,1
7377,4,0,1
7521,1,0,1
7533,6,2,2
7534,7,0,1
7678,2,0,1
7679,1,1,2
7691,2,0,1
7692,2,0,1
7767,1,0,1
7768,11,0,1
7835,0,1,1
7836,0,1,1
7841,0,1,1
7845,4,0,1
7993,1,2,2
7994,2,0,1
7995,0,1,1
7997,1,0,1
8003,0,2,1
8004,1,0,1
8005,1,0,1
8120,0,1,1
8137,0,1,1
8141,0,1,1
8142,0,3,1
8158,0,1,1
8178,1,0,1
8240,1,0,1
8245,0,1,1
8288,0,1,1
8303,1,2,2
8309,0,1,1
8310,2,0,1
8313,1,0,1
8463,1,1,2
8481,1,0,1
8604,1,0,1
8754,0,1,1
8765,0,1,1
8766,0,1,1
8770,0,4,1
8792,1,0,1
8893,0,4,1
8899,0,1,1
8908,0,1,1
8950,1,0,1
9052,0,1,1
9060,0,2,1
9065,0,1,1
9082,1,0,1
9185,0,1,1
9192,0,2,1
9196,0,2,1
9197,0,3,1
9198,1,1,2
9208,0,1,1
9210,0,2,1
9226,1,0,1
9237,1,0,1
9289,1,0,1
9291,1,0,1
9345,0,1,1
9350,2,1,2
9351,0,1,1
9352,0,2,1
9355,0,1,1
9480,0,1,1
9488,2,3,2
9495,2,3,2
9498,1,10,2
9501,1,0,1
9595,1,0,1
9618,0,1,1
9631,0,1,1
9632,0,1,1
9633,4,4,2
9635,0,4,1
9636,4,2,2
9768,1,0,1
9769,0,1,1
9774,1,0,1
9881,1,2,2
9897,0,1,1
9899,0,2,1
9993,2,0,1
9994,1,0,1
9996,0,1,1
10022,0,1,1
10026,0,2,1
10028,0,1,1
10029,1,2,2
10100,0,1,1
10118,4,4,2
10119,4,6,2
10121,1,0,1
10122,0,2,1
10123,2,1,2
10139,1,0,1
10144,0,1,1
10156,0,2,1
10157,1,5,2
10243,1,0,1
10264,4,10,2
10272,0,5,1
10275,0,1,1
10279,0,1,1
10280,0,5,1
10281,1,13,2
10282,0,2,1
10395,0,1,1
10399,2,0,1
10400,0,1,1
10401,0,1,1
10431,1,0,1
10478,1,0,1
10509,2,0,1
10513,0,6,1
10515,1,1,2
10594,0,1,1
10614,1,0,1
10615,4,1,2
10626,0,9,1
10627,0,3,1
10703,0,1,1
10705,1,1,2
10711,0,1,1
10725,1,0,1
10728,0,1,1
10735,0,1,1
10737,0,4,1
10738,6,85,2
10739,8,45,2
10740,0,1,1
10741,1,0,1
10821,0,1,1
10833,1,1,2
10834,1,0,1
10845,2,2,2
10846,0,4,1
10848,0,1,1
10921,1,0,1
10922,0,1,1
10941,3,0,1
10944,0,1,1
10946,0,1,1
10948,0,1,1
10952,0,2,1
10953,0,1,1
10957,1,1,2
10958,1,2,2
10975,0,1,1
11030,0,1,1
11048,0,1,1
11052,0,1,1
11058,0,1,1
11059,0,1,1
11060,0,5,1
11061,0,1,1
11064,2,0,1
11134,0,1,1
11137,1,4,2
11154,0,3,1
11155,0,2,1
11156,0,2,1
11157,1,0,1
11168,10,1,2
11169,5,4,2
11258,0,5,1
11259,0,5,1
11260,0,1,1
11262,0,1,1
11263,2,11,2
11264,4,6,2
11272,2,3,2
11273,1,0,1
11283,0,1,1
11347,1,1,2
11348,0,1,1
11357,1,8,2
11360,0,1,1
