grid_id,Acraea andromacha,Acraea terpsicore,Afrohybanthus enneaspermus,Adenia heterophylla,n_species
6237,1,0,0,0,4
6239,1,0,0,0,4
6241,1,1,0,0,4
6243,12,3,0,0,4
6244,2,3,0,0,4
6401,0,0,1,0,4
6404,1,1,1,0,4
6406,1,0,0,0,4
6408,4,1,0,0,4
6410,5,0,0,0,4
6555,1,0,1,0,4
6556,3,1,0,0,4
6559,1,0,0,0,4
6567,1,0,0,0,4
6569,1,0,0,0,4
6570,2,1,0,0,4
6571,2,0,0,0,4
6720,1,0,0,0,4
6725,1,2,0,0,4
6731,1,0,0,0,4
6733,1,0,0,0,4
6734,1,0,0,0,4
6735,3,2,0,0,4
6736,27,1,0,0,4
6881,36,1,0,0,4
6883,1,0,0,0,4
6889,1,0,0,0,4
6893,1,0,0,0,4
6898,1,0,0,0,4
6899,2,0,0,0,4
6973,1,0,0,0,4
7041,1,0,0,0,4
7042,1,0,0,0,4
7045,1,0,0,0,4
7048,0,0,1,0,4
7051,1,0,0,0,4
7054,6,1,0,0,4
7055,2,0,0,0,4
7056,1,0,0,0,4
7058,0,1,0,0,4
7188,1,0,0,0,4
7214,3,0,0,0,4
7217,0,1,0,0,4
7218,7,0,1,0,4
7363,0,1,0,0,4
7371,0,0,1,0,4
7372,0,1,0,0,4
7375,1,0,0,0,4
7377,4,0,0,0,4
7521,1,0,0,0,4
7533,6,2,0,0,4
7534,7,0,0,0,4
7558,0,0,1,0,4
7678,2,0,0,0,4
7679,1,1,0,0,4
7688,0,0,1,0,4
7691,2,0,0,0,4
7692,2,0,1,0,4
7767,1,0,0,0,4
7768,11,0,0,0,4
7835,0,1,0,0,4
7836,0,1,0,0,4
7839,0,0,1,0,4
7840,0,0,1,0,4
7841,0,1,0,0,4
7842,0,0,1,0,4
7845,4,0,65,0,4
7993,1,2,0,0,4
7994,2,0,0,0,4
7995,0,1,0,0,4
7997,1,0,0,0,4
8003,0,2,2,0,4
8004,1,0,0,0,4
8005,1,0,1,0,4
8120,0,1,0,0,4
8137,0,1,0,0,4
8141,0,1,0,0,4
8142,0,3,0,0,4
8158,0,1,2,0,4
8178,1,0,0,0,4
8240,1,0,0,0,4
8245,0,1,0,0,4
8288,0,1,0,0,4
8303,1,2,0,0,4
8309,0,1,0,0,4
8310,2,0,0,0,4
8313,1,0,0,0,4
8463,1,1,0,0,4
8466,0,0,1,0,4
8481,1,0,0,0,4
8604,1,0,0,0,4
8754,0,1,0,0,4
8765,0,1,0,0,4
8766,0,1,0,0,4
8768,0,0,1,0,4
8770,0,4,0,0,4
8792,1,0,0,0,4
8893,0,4,0,0,4
8899,0,1,0,0,4
8908,0,1,1,0,4
8950,1,0,0,0,4
9052,0,1,0,0,4
9060,0,2,1,0,4
9065,0,1,0,0,4
9082,1,0,0,0,4
9185,0,1,0,0,4
9192,0,2,0,0,4
9196,0,2,0,0,4
9197,0,3,0,0,4
9198,1,1,0,0,4
9204,0,0,1,0,4
9207,0,0,1,0,4
9208,0,1,0,0,4
9210,0,2,0,0,4
9226,1,0,0,0,4
9237,1,0,0,0,4
9289,1,0,0,0,4
9291,1,0,0,0,4
9345,0,1,0,0,4
9349,0,0,1,0,4
9350,2,1,0,0,4
9351,0,1,0,0,4
9352,0,2,0,0,4
9353,0,0,1,0,4
9355,0,1,0,0,4
9480,0,1,0,0,4
9488,2,3,1,0,4
9495,2,3,0,0,4
9498,1,10,1,0,4
9501,1,0,0,0,4
9595,1,0,0,0,4
9618,0,1,0,0,4
9631,0,1,0,0,4
9632,0,1,0,0,4
9633,4,4,0,0,4
9635,0,4,0,0,4
9636,4,2,0,0,4
9768,1,0,0,0,4
9769,0,1,0,0,4
9774,1,0,0,0,4
9881,1,2,0,0,4
9897,0,1,0,0,4
9899,0,2,0,0,4
9993,2,0,1,0,4
9994,1,0,1,0,4
9996,0,1,0,0,4
10014,0,0,1,0,4
10022,0,1,0,0,4
10026,0,2,0,0,4
10028,0,1,0,0,4
10029,1,2,0,0,4
10100,0,1,0,0,4
10118,4,4,0,0,4
10119,4,6,1,0,4
10121,1,0,0,0,4
10122,0,2,1,0,4
10123,2,1,0,0,4
10139,1,0,0,0,4
10142,0,0,2,0,4
10144,0,1,0,0,4
10156,0,2,0,0,4
10157,1,5,0,0,4
10243,1,0,0,0,4
10264,4,10,0,0,4
